,Player,Short Name,Player ID,Birthdate,Team,Competition,Season,Season ID,Position Group,Minutes,PSV-99,TOP 5 PSV-99,Total Distance P90,M/min P90,Running Distance P90,HSR Distance P90,HSR Count P90,Sprinting Distance P90,Sprint Count P90,HI Distance P90,HI Count P90,Medium Acceleration Count P90,High Acceleration Count P90,Medium Deceleration Count P90,High Deceleration Count P90,Explosive Acceleration to HSR Count P90,Explosive Acceleration to Sprint Count P90,Note xPhysical,Note xPhy TOP 5 PSV-99,Note xPhy HI Distance P90,Note xPhy Total Distance P90,Note xPhy HSR Distance P90,Note xPhy Sprinting Distance P90,Note xPhy Sprint Count P90,Note xPhy High Acceleration Count P90,Note xPhy_max,xPhysical,Age
7291,Tanner Tessmann,T. Tessmann,34511,2001-09-24,Venezia,ITA - Serie B,2023/2024,28,Midfield,99.24,27.26,29.38,10297.07,114.41,1513.36,395.6,34.36,81.69,4.14,477.29,38.51,91.72,3.55,80.52,8.87,2.18,0.54,12,7,0,3,0,1,0,1,46,26.0,24.0
7292,Gianluca Busio,G. Busio,34514,2002-05-28,Venezia,ITA - Serie A,2024/2025,95,Midfield,88.99,27.99,29.06,10932.78,121.48,1941.43,883.5,71.27,221.49,12.2,1104.99,83.47,117.44,5.18,98.7,19.57,3.69,0.95,36,5,4,7,7,4,4,5,46,78.0,23.0
7293,Gianluca Busio,G. Busio,34514,2002-05-28,Venezia,ITA - Serie B,2023/2024,28,Midfield,85.99,28.57,30.28,10864.81,120.72,1845.17,801.52,68.14,241.93,12.43,1043.45,80.56,115.45,4.59,99.51,17.01,3.3,0.94,39,10,4,5,7,4,4,5,46,85.0,23.0
7294,Gianluca Busio,G. Busio,34514,2002-05-28,Venezia,ITA - Serie A,2024/2025,95,Wide Attacker,88.96,27.91,28.24,10942.94,121.59,1914.42,868.32,71.83,203.35,12.14,1071.68,83.97,120.97,8.24,98.86,22.69,4.77,1.3,25,0,4,7,7,1,1,5,56,45.0,23.0
7295,Leandro Martín González Pírez,L. González Pírez,34536,1992-02-26,Club Atlético River Plate,ARG - Primera Division - 1st Phase,2024/2024,29,Central Defender,95.29,28.06,29.46,8758.24,97.31,907.22,253.78,24.27,75.49,3.85,329.26,28.12,88.85,4.0,69.09,9.23,1.89,0.44,0,0,0,0,0,0,0,0,51,0.0,33.0
7296,Leandro Martín González Pírez,L. González Pírez,34536,1992-02-26,Club Atlético River Plate,ARG - Primera Division - 2nd Phase,2024/2024,29,Central Defender,98.38,27.92,30.02,8736.44,97.07,947.74,285.56,26.35,71.79,3.96,357.34,30.31,88.56,3.29,67.58,8.84,1.59,0.3,3,3,0,0,0,0,0,0,51,6.0,33.0
7297,Daniel Boloca,D. Boloca,34570,1998-12-22,Sassuolo,ITA - Serie A,2023/2024,28,Midfield,89.62,26.58,27.76,11477.72,127.53,1994.28,529.14,44.9,91.29,5.69,620.43,50.59,101.72,3.35,82.3,9.61,2.34,0.53,18,3,1,10,1,1,1,1,46,39.0,27.0
7298,Daniel Boloca,D. Boloca,34570,1998-12-22,Sassuolo,ITA - Serie B,2024/2025,95,Midfield,93.53,26.63,28.56,11219.12,124.66,1766.19,488.59,41.57,77.02,4.93,565.61,46.5,93.11,2.66,79.02,9.01,1.69,0.15,18,5,1,10,1,0,1,0,46,39.0,27.0
7299,Óscar Aranda Subiela,Óscar Aranda,34573,2002-04-29,FC Famalicão,POR - Primeira Liga,2024/2025,95,Center Forward,84.65,28.1,29.62,9834.35,109.27,1309.39,461.52,42.2,116.79,6.3,578.31,48.5,96.83,5.4,78.11,11.7,2.78,0.16,3,0,0,3,0,0,0,0,50,6.0,23.0
7300,Óscar Aranda Subiela,Óscar Aranda,34573,2002-04-29,FC Famalicão,POR - Primeira Liga,2024/2025,95,Wide Attacker,81.93,28.43,30.36,9322.95,103.59,1156.45,401.16,40.64,124.13,6.59,525.28,47.23,92.42,5.27,73.89,13.69,3.44,0.29,4,4,0,0,0,0,0,0,56,7.0,23.0
7301,Pablo Rodríguez Delgado,Pablo Rodríguez,34577,2001-08-04,Ascoli,ITA - Serie B,2023/2024,28,Center Forward,76.6,27.79,29.52,10459.86,116.22,1658.99,625.42,57.35,144.59,8.81,770.01,66.16,111.32,8.81,87.31,20.71,6.02,1.98,19,0,2,7,5,1,1,3,50,38.0,24.0
7302,Pablo Rodríguez Delgado,Pablo Rodríguez,34577,2001-08-04,Ascoli,ITA - Serie B,2023/2024,28,Wide Attacker,78.06,28.53,28.94,10785.67,119.84,1757.73,706.58,61.93,205.22,11.69,911.8,73.62,118.59,10.38,95.69,20.42,8.24,1.48,26,0,2,7,5,1,1,10,56,46.0,24.0
7303,Kristjan Asllani,K. Asllani,34578,2002-03-09,Inter Milan,ITA - Serie A,2023/2024,28,Midfield,93.03,26.52,26.52,11526.18,128.07,2158.22,522.04,38.89,78.17,4.45,600.21,43.34,112.42,2.71,97.91,9.67,1.16,0.19,12,0,1,10,1,0,0,0,46,26.0,23.0
7304,Kristjan Asllani,K. Asllani,34578,2002-03-09,Inter Milan,ITA - Serie A,2024/2025,95,Midfield,78.15,25.86,26.2,11738.58,130.43,2192.21,481.38,40.97,63.83,3.95,545.22,44.91,119.44,2.8,100.19,8.39,0.82,0.16,11,0,0,10,1,0,0,0,46,24.0,23.0
7305,Tommaso Baldanzi,T. Baldanzi,34579,2003-03-23,Empoli,ITA - Serie A,2023/2024,28,Midfield,86.39,27.63,28.02,10701.73,118.91,1710.7,485.97,42.71,110.94,5.9,596.91,48.61,92.19,3.13,80.21,9.9,2.26,0.52,13,3,1,5,1,2,1,0,46,28.0,22.0
7306,Serdar Saatçı,S. Saatçı,34583,2003-02-14,SC Braga,POR - Primeira Liga,2023/2024,28,Central Defender,101.62,28.92,30.14,9303.17,103.37,1183.14,421.52,42.29,139.1,8.08,560.62,50.37,106.33,5.42,82.7,14.28,3.1,1.44,34,3,4,3,7,5,7,5,51,67.0,22.0
7307,Alessandro Di Pardo,A. Di Pardo,34587,1999-07-18,Modena FC,ITA - Serie B,2024/2025,95,Full Back,84.1,30.19,31.2,10696.1,118.85,1542.3,698.47,65.1,284.31,15.07,982.77,80.17,112.99,7.76,92.39,19.71,6.06,2.14,41,6,4,7,7,7,7,3,53,77.0,26.0
7308,Vanderlan Barbosa da Silva,Vanderlan,34603,2002-09-07,Sociedade Esportiva Palmeiras,BRA - Série A,2024/2024,29,Full Back,92.29,31.1,32.54,9288.74,103.21,1158.45,498.23,53.31,232.21,12.46,730.44,65.77,103.05,7.37,83.44,17.01,5.74,1.52,24,14,1,0,0,3,3,3,53,45.0,23.0
7309,David Wieser,D. Wieser,34620,2002-02-13,Mantova 1911 FC,ITA - Serie B,2024/2025,95,Midfield,71.36,28.23,28.9,11106.25,123.4,1920.3,661.68,61.59,223.43,10.51,885.11,72.1,110.77,4.2,96.9,14.29,3.15,0.84,32,5,4,7,5,4,4,3,46,70.0,23.0
7310,Max Bruns,M. Bruns,34624,2002-11-06,FC Twente,UEFA - Europa League,2024/2025,95,Central Defender,97.91,27.64,27.64,9606.9,106.74,1231.52,370.61,34.75,95.41,5.7,466.02,40.44,118.76,5.52,93.76,10.29,3.68,0.92,17,0,2,5,3,1,1,5,51,33.0,23.0
7311,Max Bruns,M. Bruns,34624,2002-11-06,FC Twente,NED - Eredivisie,2024/2025,95,Central Defender,89.32,28.61,30.32,9714.87,107.94,1271.31,394.94,36.69,102.66,6.11,497.61,42.8,110.07,5.16,88.26,12.15,3.02,0.65,32,6,3,7,5,3,3,5,51,63.0,23.0
7312,Kennedy Kofi Boateng,K. Boateng,34639,1996-11-29,SC Austria Lustenau,AUT - Bundesliga,2023/2024,28,Central Defender,98.76,28.44,30.06,10097.34,112.19,1272.28,394.58,35.54,102.69,5.61,497.28,41.15,90.29,4.63,72.48,9.6,2.73,0.77,25,3,3,7,5,3,1,3,51,49.0,29.0
7313,Caio Vidal Rocha,Caio Vidal,34645,2000-11-04,Ludogorets 1945 Razgrad,UEFA - Europa League,2024/2025,95,Wide Attacker,82.15,30.82,30.82,9993.05,111.03,1277.59,559.15,62.88,291.41,16.87,850.56,79.75,101.23,9.2,83.7,16.87,7.67,3.72,27,4,1,3,0,5,7,7,56,48.0,25.0
7314,Filip Mrzljak,F. Mrzljak,34655,1993-04-16,HNK Gorica,CRO - 1.HNL,2023/2024,28,Midfield,92.36,27.85,28.66,10766.66,119.63,1546.2,509.31,44.83,120.71,6.61,630.02,51.44,101.13,3.22,88.55,11.02,2.03,0.21,17,5,1,5,1,2,2,1,46,37.0,32.0
7315,Daniel Svensson,D. Svensson,34657,2002-02-12,Borussia Dortmund,GER - Bundesliga,2024/2025,95,Full Back,97.1,28.62,28.62,11844.56,131.61,2191.25,995.81,78.6,253.96,14.46,1249.76,93.06,126.05,6.67,108.63,17.05,4.45,0.74,29,0,4,7,7,5,5,1,53,55.0,23.0
7316,Daniel Svensson,D. Svensson,34657,2002-02-12,FC Nordsjaelland,DEN - Superliga,2023/2024,28,Full Back,96.94,28.68,28.68,11264.96,125.17,1755.5,711.37,64.62,235.64,13.56,947.01,78.17,117.73,7.24,100.09,14.86,4.83,2.23,29,0,4,7,7,3,5,3,53,55.0,23.0
7317,Daniel Svensson,D. Svensson,34657,2002-02-12,FC Nordsjaelland,DEN - Superliga,2024/2025,95,Full Back,98.34,29.74,30.62,11415.29,126.84,1783.86,868.17,78.7,326.4,16.7,1194.58,95.4,124.31,8.47,108.75,17.16,6.33,1.98,41,4,4,7,7,7,7,5,53,77.0,23.0
7318,Daniel Svensson,D. Svensson,34657,2002-02-12,FC Nordsjaelland,DEN - Superliga,2023/2024,28,Midfield,92.09,28.3,29.7,12199.15,135.55,2307.93,867.1,72.14,210.13,12.1,1077.23,84.24,124.16,4.51,108.82,11.62,3.08,1.13,41,7,4,10,7,4,4,5,46,89.0,23.0
7319,Rúben da Rocha Rodrigues,Rúben Rodrigues,34691,1996-08-02,Oxford United,ENG - Championship,2024/2025,95,Midfield,75.9,27.88,29.22,10737.96,119.31,1887.17,741.71,64.09,178.57,10.13,920.28,74.22,118.47,4.37,100.04,16.17,3.18,0.86,35,7,4,5,7,3,4,5,46,76.0,29.0
7320,Armel Junior Zohouri,A. Zohouri,34725,2001-04-05,FC Sheriff Tiraspol,UEFA - Europa League,2023/2024,28,Full Back,92.24,30.04,30.42,9842.16,109.36,1313.55,531.05,54.08,236.39,11.29,767.45,65.37,116.94,9.48,96.31,23.28,6.41,3.76,20,4,1,3,1,3,1,7,53,38.0,24.0
7321,Antonio Javier Galeano Ferreira,A. Galeano,34729,2000-03-22,Ceará Sporting Club,BRA - Série A,2025/2025,128,Wide Attacker,87.37,29.98,30.2,9604.77,106.72,1295.32,552.98,54.59,236.92,11.5,789.9,66.1,96.31,6.7,75.2,19.74,4.46,1.2,9,0,1,1,0,3,1,3,56,16.0,25.0
7322,Warren Bondo,W. Bondo,34735,2003-09-15,Associazione Calcio Monza,ITA - Serie A,2023/2024,28,Midfield,94.42,28.46,29.4,10169.53,112.99,1278.79,413.5,42.72,130.84,6.24,544.34,48.96,114.55,5.46,93.06,18.37,3.47,0.95,17,7,0,0,0,2,1,7,46,37.0,22.0
7323,Warren Bondo,W. Bondo,34735,2003-09-15,Associazione Calcio Monza,ITA - Serie A,2024/2025,95,Midfield,93.94,28.08,29.5,10575.23,117.5,1588.46,548.54,47.74,140.62,7.19,689.16,54.93,110.12,4.36,92.45,14.26,3.46,1.17,23,7,2,3,3,3,2,3,46,50.0,22.0
7324,Riccardo Ciervo,R. Ciervo,34747,2002-04-01,Cosenza Calcio,ITA - Serie B,2024/2025,95,Full Back,80.72,31.7,32.74,10877.3,120.86,1609.56,692.12,68.11,370.26,17.47,1062.38,85.57,104.44,6.6,84.83,18.12,5.48,2.6,47,14,4,7,7,7,7,1,53,89.0,23.0
7325,Riccardo Ciervo,R. Ciervo,34747,2002-04-01,FC Südtirol,ITA - Serie B,2023/2024,28,Wide Attacker,82.91,31.05,31.88,11188.46,124.32,1667.26,775.56,73.13,348.43,17.77,1123.99,90.91,108.14,6.65,86.7,18.59,5.16,2.17,45,10,4,7,7,7,7,3,56,80.0,23.0
7326,Matija Frigan,M. Frigan,34748,2003-02-11,KVC Westerlo,BEL - Pro League,2023/2024,28,Center Forward,78.01,29.06,30.08,10588.5,117.65,1521.97,668.19,64.3,205.89,12.31,874.08,76.6,107.9,6.38,86.52,17.54,3.69,0.77,28,4,3,7,7,3,3,1,50,56.0,22.0
7327,Matija Frigan,M. Frigan,34748,2003-02-11,KVC Westerlo,BEL - Pro League,2024/2025,95,Center Forward,89.9,29.3,31.24,10061.19,111.79,1373.04,655.46,65.83,227.76,14.35,883.22,80.18,104.41,7.72,86.81,18.06,5.88,1.71,35,6,3,5,7,5,7,2,50,70.0,22.0
7328,Veldin Hodža,V. Hodža,34749,2002-10-15,HNK Rijeka,CRO - 1.HNL,2023/2024,28,Midfield,90.36,26.95,28.12,11074.26,123.05,1855.74,642.13,52.37,125.54,7.23,767.68,59.6,119.1,3.72,102.64,18.4,2.57,0.47,23,3,3,7,5,2,2,1,46,50.0,23.0
7329,Tiago Filipe Alves Araújo,Tiago Araújo,34753,2001-03-27,KAA Gent,BEL - Pro League,2024/2025,95,Full Back,79.8,30.79,31.64,10914.76,121.28,1760.85,752.98,73.03,328.63,17.06,1081.61,90.09,122.79,9.87,101.08,25.8,7.75,2.68,49,10,4,7,7,7,7,7,53,92.0,24.0
7330,Tiago Filipe Alves Araújo,Tiago Araújo,34753,2001-03-27,Estoril Praia,POR - Primeira Liga,2023/2024,28,Full Back,93.52,31.05,32.54,10054.05,111.71,1458.54,697.31,69.29,334.05,16.8,1031.36,86.1,112.04,8.55,87.32,23.17,6.51,2.44,47,14,4,3,7,7,7,5,53,89.0,24.0
7331,Beñat Turrientes Imaz,Beñat Turrientes,34754,2002-01-31,Real Sociedad,ESP - LaLiga,2023/2024,28,Midfield,84.07,28.02,29.96,10581.66,117.57,1605.53,457.02,42.29,109.97,5.41,567.0,47.7,98.85,3.51,86.9,9.93,2.74,0.77,18,10,1,3,0,2,1,1,46,39.0,23.0
7332,Beñat Turrientes Imaz,Beñat Turrientes,34754,2002-01-31,Real Sociedad,ESP - LaLiga,2024/2025,95,Midfield,76.38,28.59,29.42,10481.03,116.46,1549.59,492.01,41.58,125.06,5.72,617.08,47.3,90.05,3.53,85.85,8.42,2.19,0.5,16,7,1,3,1,2,1,1,46,35.0,23.0
7333,Dane Scarlett,D. Scarlett,34756,2004-03-24,Oxford United,ENG - Championship,2024/2025,95,Center Forward,75.85,28.7,29.32,10867.19,120.75,1708.89,720.07,69.11,263.7,13.94,983.77,83.06,109.01,6.23,87.51,15.28,5.04,1.19,31,0,4,7,7,7,5,1,50,62.0,21.0
7334,Roger Beyker Martínez Tobinson,R. Martínez,34768,1994-06-23,Racing Club de Avellaneda,ARG - Primera Division - 2nd Phase,2024/2024,29,Center Forward,87.9,28.56,29.0,8520.8,94.68,936.08,453.56,47.68,149.04,8.63,602.6,56.31,86.73,7.31,69.33,13.6,4.39,1.61,4,0,0,0,0,1,1,2,50,8.0,31.0
7335,Marcelo Javier Correa,J. Correa,34782,1992-10-23,Estudiantes de La Plata,ARG - Primera Division - 1st Phase,2024/2024,29,Center Forward,90.79,27.91,28.28,9305.19,103.39,1191.03,587.58,55.66,159.89,9.91,747.47,65.57,95.03,8.78,78.32,18.27,6.66,2.41,9,0,1,0,3,1,1,3,50,18.0,33.0
7336,Lucas Giuliano Passerini,L. Passerini,34806,1994-07-16,CA Belgrano de Córdoba,ARG - Primera Division - 1st Phase,2024/2024,29,Center Forward,98.94,28.87,30.1,8073.98,89.71,727.1,277.54,32.38,109.52,6.28,387.07,38.66,77.6,4.91,62.22,12.1,4.28,2.09,4,4,0,0,0,0,0,0,50,8.0,31.0
7337,Maximiliano Nahuel Salas,M. Salas,34818,1997-12-01,Racing Club de Avellaneda,ARG - Primera Division - 1st Phase,2025/2025,128,Wide Attacker,85.36,29.25,29.44,8129.87,90.33,800.25,385.54,43.4,168.52,8.61,554.06,52.01,83.29,9.49,66.25,16.52,7.56,2.11,7,0,0,0,0,0,0,7,56,12.0,28.0
7338,Maximiliano Nahuel Salas,M. Salas,34818,1997-12-01,Racing Club de Avellaneda,ARG - Primera Division - 2nd Phase,2024/2024,29,Wide Attacker,86.82,28.76,29.58,8387.7,93.2,816.38,425.89,48.0,185.24,9.81,611.13,57.81,86.44,8.85,68.82,16.9,6.38,1.99,6,0,0,0,0,1,0,5,56,11.0,28.0
7339,Elliott Anderson,E. Anderson,34841,2002-11-06,Newcastle United,ENG - Premier League,2023/2024,28,Midfield,80.08,28.1,28.76,10674.55,118.61,1889.11,863.43,73.05,227.45,13.21,1090.87,86.26,114.07,5.06,90.33,20.65,4.21,0.98,34,5,4,5,7,4,4,5,46,74.0,23.0
7340,Elliott Anderson,E. Anderson,34841,2002-11-06,Nottingham Forest,ENG - Premier League,2024/2025,95,Midfield,86.65,27.94,30.08,10545.73,117.17,1836.24,646.86,55.18,150.79,8.57,797.65,63.75,114.78,4.37,94.0,16.92,2.64,0.48,32,10,3,3,5,3,3,5,46,70.0,23.0
7341,Kevin Schade,K. Schade,34850,2001-11-27,Brentford FC,ENG - Premier League,2024/2025,95,Wide Attacker,85.93,31.47,33.1,9775.1,108.61,1357.89,683.59,72.76,362.81,18.79,1046.4,91.55,107.07,12.51,92.23,20.58,10.47,4.93,48,14,4,1,5,7,7,10,56,86.0,24.0
7342,Simone Tronchin,S. Tronchin,34855,2002-10-17,AS Cittadella,ITA - Serie B,2024/2025,95,Midfield,78.97,26.96,28.48,10939.05,121.54,2005.45,691.5,54.95,130.5,7.33,822.0,62.28,117.72,4.72,96.23,18.56,3.58,0.9,31,5,3,7,7,2,2,5,46,67.0,23.0
7343,Andrew Omobamidele,A. Omobamidele,34858,2002-06-23,RC Strasbourg Alsace,FRA - Ligue 1,2024/2025,95,Central Defender,96.79,29.46,29.46,9877.19,109.75,1260.17,437.23,45.01,143.76,9.86,580.99,54.86,113.45,5.95,90.01,15.62,4.84,2.42,39,0,4,7,7,7,7,7,51,76.0,23.0
7344,Andrew Omobamidele,A. Omobamidele,34858,2002-06-23,Nottingham Forest,ENG - Premier League,2023/2024,28,Central Defender,101.96,30.74,31.8,8666.97,96.3,1042.35,426.89,42.92,149.18,8.5,576.07,51.42,101.4,7.5,78.78,15.34,5.96,1.54,44,12,4,0,7,7,7,7,51,86.0,23.0
7345,Derik Gean Severino Lacerda,Derik Lacerda,34869,1999-09-27,Cuiaba Esporte Club,BRA - Série A,2024/2024,29,Center Forward,88.81,32.6,32.6,9334.16,103.71,1066.34,566.31,66.68,330.18,16.62,896.49,83.3,91.41,9.93,75.4,17.03,7.7,3.45,38,14,3,0,3,7,7,4,50,76.0,26.0
7346,Derik Gean Severino Lacerda,Derik Lacerda,34869,1999-09-27,Cuiaba Esporte Club,BRA - Série A,2024/2024,29,Wide Attacker,81.56,32.21,32.76,9562.87,106.25,1162.25,580.89,64.0,303.14,14.82,884.03,78.82,99.94,10.88,79.13,19.07,8.67,3.63,37,14,2,0,1,5,5,10,56,66.0,26.0
7347,Malcolm Viltard,M. Viltard,34873,2002-10-24,FCV Dender EH,BEL - Pro League,2024/2025,95,Midfield,80.56,27.94,29.24,11228.52,124.76,1852.32,697.47,64.52,177.91,10.52,875.38,75.03,130.8,4.65,102.96,18.71,3.35,1.02,40,7,4,10,7,3,4,5,46,87.0,23.0
7348,Victor Bernth Kristiansen,V. Kristiansen,34888,2002-12-16,Leicester City,ENG - Premier League,2024/2025,95,Full Back,94.67,29.94,31.3,10059.43,111.77,1478.71,702.12,70.03,301.64,16.3,1003.76,86.33,114.57,8.91,94.47,20.53,6.3,2.75,39,6,4,3,7,7,7,5,53,74.0,23.0
7349,Victor Bernth Kristiansen,V. Kristiansen,34888,2002-12-16,Bologna,ITA - Serie A,2023/2024,28,Full Back,92.6,29.26,31.1,10108.34,112.31,1418.6,599.21,60.26,204.02,12.19,803.23,72.45,114.32,8.14,95.16,18.79,5.47,1.66,27,6,2,5,3,3,3,5,53,51.0,23.0
7350,Vitor Hugo Santana Carvalho,Vitinho,34905,1998-03-24,Red Bull Bragantino,BRA - Série A,2024/2024,29,Wide Attacker,80.85,29.83,30.08,9782.56,108.7,1388.92,573.6,58.04,226.77,11.29,800.37,69.33,101.62,10.65,81.26,23.22,8.27,2.07,17,0,1,1,1,3,1,10,56,30.0,27.0
7351,Angelo Stiller,A. Stiller,34908,2001-04-04,VfB Stuttgart,GER - Bundesliga,2023/2024,28,Midfield,99.17,26.49,28.72,10729.87,119.22,1677.49,439.88,36.17,60.21,3.32,500.09,39.49,103.49,2.88,89.18,11.2,1.6,0.28,10,5,0,5,0,0,0,0,46,22.0,24.0
7352,Angelo Stiller,A. Stiller,34908,2001-04-04,VfB Stuttgart,GER - Bundesliga,2024/2025,95,Midfield,98.3,26.27,28.6,10907.54,121.19,1760.34,480.42,39.19,69.3,3.77,549.72,42.96,100.85,2.92,89.8,10.49,1.87,0.18,11,5,0,5,1,0,0,0,46,24.0,24.0
7353,Ben Nelson,B. Nelson,34941,2004-03-18,Oxford United,ENG - Championship,2024/2025,95,Central Defender,94.3,28.84,30.72,9316.89,103.52,1165.42,385.25,37.5,115.14,6.68,500.39,44.18,105.74,6.2,78.54,11.66,4.43,1.36,28,6,3,3,3,3,3,7,51,55.0,21.0
7354,Edoardo Bove,E. Bove,34944,2002-05-16,Fiorentina,ITA - Serie A,2024/2025,95,Midfield,91.08,26.12,26.12,11359.7,126.22,2108.58,588.56,44.07,79.25,5.34,667.81,49.41,104.75,2.96,87.35,10.67,1.78,0.4,16,0,2,10,3,0,1,0,46,35.0,23.0
7355,Edoardo Bove,E. Bove,34944,2002-05-16,Roma,ITA - Serie A,2023/2024,28,Midfield,86.19,26.29,27.66,11267.16,125.19,2122.07,646.0,52.5,78.84,5.16,724.84,57.66,115.85,3.6,100.3,12.41,2.2,0.46,22,3,2,10,5,0,1,1,46,48.0,23.0
7356,Edoardo Bove,E. Bove,34944,2002-05-16,Roma,UEFA - Europa League,2023/2024,28,Midfield,91.2,26.29,26.48,11154.72,123.94,2038.92,588.05,48.36,75.0,5.08,663.05,53.43,116.45,3.24,103.48,12.83,2.26,0.0,13,0,1,7,3,0,1,1,46,28.0,23.0
7357,Edoardo Bove,E. Bove,34944,2002-05-16,Fiorentina,ITA - Serie A,2024/2025,95,Wide Attacker,79.89,26.78,26.78,11120.17,123.56,2047.84,816.52,66.92,116.03,7.89,932.56,74.8,123.24,4.28,101.84,20.95,4.06,0.9,16,0,2,7,7,0,0,0,56,29.0,23.0
7358,Elye Sepe Wahi,E. Wahi,34952,2003-01-02,Olympique de Marseille,FRA - Ligue 1,2024/2025,95,Center Forward,73.1,30.56,30.56,9696.17,107.74,1195.18,642.65,64.27,279.22,15.27,921.87,79.53,108.83,11.08,89.38,17.97,8.13,2.22,31,4,3,1,5,7,7,4,50,62.0,22.0
7359,Elye Sepe Wahi,E. Wahi,34952,2003-01-02,RC Lens,FRA - Ligue 1,2023/2024,28,Center Forward,81.31,31.09,32.2,9821.08,109.12,1177.77,509.58,56.78,229.13,12.37,738.71,69.15,104.9,10.16,91.61,18.04,7.94,3.32,27,10,1,3,1,5,3,4,50,54.0,22.0
7360,Sam Bell,S. Bell,34972,2002-05-23,Bristol City,ENG - Championship,2023/2024,28,Wide Attacker,79.86,30.59,32.12,10713.13,119.03,1601.21,796.24,83.49,362.71,19.16,1158.95,102.65,120.68,11.27,97.67,24.61,8.83,2.25,52,10,4,7,7,7,7,10,56,93.0,23.0
7361,Rubens Antonio Dias,Rubens,34991,2001-06-21,Clube Atlético Mineiro,BRA - Série A,2024/2024,29,Full Back,97.57,31.41,32.12,9459.74,105.11,1235.91,536.38,58.8,284.1,13.95,820.48,72.75,102.27,11.88,86.25,23.75,8.42,3.23,36,14,2,0,1,7,5,7,53,68.0,24.0
7362,Martin Baturina,M. Baturina,35029,2003-02-16,GNK Dinamo Zagreb,CRO - 1.HNL,2023/2024,28,Midfield,83.57,28.14,30.12,10955.12,121.72,1743.52,592.63,55.69,155.44,9.15,748.07,64.84,112.99,4.62,99.17,14.4,3.23,0.58,34,10,3,7,3,3,3,5,46,74.0,22.0
7363,Martin Baturina,M. Baturina,35029,2003-02-16,GNK Dinamo Zagreb,CRO - 1.HNL,2024/2025,95,Midfield,78.54,28.8,31.7,10801.67,120.02,1714.5,600.47,56.46,175.26,9.64,775.74,66.09,114.74,4.64,101.15,13.8,3.59,1.35,32,10,3,5,3,3,3,5,46,70.0,22.0
7364,Bruno Miguel Ferreira Rodrigues,Bruno Rodrigues,35030,2001-06-08,GD Chaves,POR - Primeira Liga,2023/2024,28,Central Defender,99.9,28.54,29.9,9017.16,100.19,1072.08,399.3,37.26,114.87,7.01,514.16,44.27,103.99,5.28,79.99,12.16,3.22,0.71,25,3,3,1,5,3,5,5,51,49.0,24.0
7365,Vítor Manuel Carvalho Oliveira,Vitinha,35032,2000-03-15,Olympique de Marseille,FRA - Ligue 1,2023/2024,28,Center Forward,89.12,30.2,30.82,10239.65,113.77,1391.68,680.41,71.25,325.51,17.17,1005.92,88.42,99.41,10.21,79.67,20.42,7.18,2.69,40,6,4,5,7,7,7,4,50,80.0,25.0
7366,Vítor Manuel Carvalho Oliveira,Vitinha,35032,2000-03-15,Genoa,ITA - Serie A,2024/2025,95,Center Forward,78.97,30.33,30.78,9793.23,108.81,1244.14,629.56,63.82,316.65,17.58,946.21,81.4,105.5,8.95,83.52,18.07,6.51,2.44,35,6,4,3,5,7,7,3,50,70.0,25.0
7367,Vítor Manuel Carvalho Oliveira,Vitinha,35032,2000-03-15,Genoa,ITA - Serie A,2024/2025,95,Wide Attacker,74.73,30.78,30.78,9989.45,110.99,1294.48,615.68,66.96,273.16,14.93,888.84,81.9,120.68,9.88,96.59,20.47,8.43,2.17,27,4,2,3,1,5,5,7,56,48.0,25.0
7368,Éder Citadin Martins,Éder,35106,1986-11-15,Criciuma EC,BRA - Série A,2024/2024,29,Center Forward,69.25,29.2,29.94,9373.18,104.15,1036.74,504.26,48.09,177.12,10.77,681.38,58.86,89.49,7.06,71.85,15.97,4.46,2.23,8,0,1,1,1,1,3,1,50,16.0,39.0
7369,Vanderson de Oliveira Campos,Vanderson,35144,2001-06-21,AS Monaco,FRA - Ligue 1,2023/2024,28,Full Back,91.29,29.39,30.28,10608.78,117.88,1778.43,721.53,65.74,212.59,12.3,934.13,78.04,124.17,7.78,99.32,21.85,5.55,1.66,30,4,3,7,7,3,3,3,53,57.0,24.0
7370,Vanderson de Oliveira Campos,Vanderson,35144,2001-06-21,AS Monaco,FRA - Ligue 1,2024/2025,95,Full Back,89.51,29.31,30.78,10017.89,111.31,1578.02,692.49,64.21,226.23,12.84,918.72,77.05,121.02,8.68,97.35,20.34,6.49,2.42,28,4,3,3,7,3,3,5,53,53.0,24.0
7371,Yorbe Vertessen,Y. Vertessen,35158,2001-01-08,Red Bull Salzburg,AUT - Bundesliga,2024/2025,95,Center Forward,90.77,30.15,30.3,10579.23,117.55,1425.44,648.6,68.41,276.96,15.37,925.56,83.78,110.88,8.92,94.36,22.31,7.77,3.3,37,4,4,7,5,7,7,3,50,74.0,24.0
7372,Peer Koopmeiners,P. Koopmeiners,35170,2000-05-04,AZ Alkmaar,UEFA - Europa League,2024/2025,95,Midfield,84.78,27.12,28.08,11340.31,126.0,1982.26,672.57,53.71,124.2,7.43,796.77,61.14,117.51,3.61,99.57,11.36,2.55,0.74,28,3,3,10,7,2,2,1,46,61.0,25.0
